Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","356","India","5510","Production","01359.90","Other fruits, n.e.c.","2021","2021","t","10159074.01","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01449.90","Other oil seeds, n.e.c.","2021","2021","t","42000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01699","Other stimulant, spice and aromatic crops, n.e.c.","2021","2021","t","1420444.44","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01349.20","Other stone fruits","2021","2021","t","2397.17","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01319","Other tropical fruits, n.e.c.","2021","2021","t","1542124.18","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01290.90","Other vegetables, fresh n.e.c.","2021","2021","t","24813098.06","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01317","Papayas","2021","2021","t","5540000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01345","Peaches and nectarines","2021","2021","t","111230.36","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01342.01","Pears","2021","2021","t","276000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01705","Peas, dry","2021","2021","t","876542","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01242","Peas, green","2021","2021","t","5846000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01651","Pepper (Piper spp.), raw","2021","2021","t","141000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01707","Pigeon peas, dry","2021","2021","t","4220191.99","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01318","Pineapples","2021","2021","t","1799000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01346","Plums and sloes","2021","2021","t","84452.53","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01321","Pomelos and grapefruits","2021","2021","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","356","India","5510","Production","01448","Poppy seed","2021","2021","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","356","India","5510","Production","01510","Potatoes","2021","2021","t","54230000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01235","Pumpkins, squash and gourds","2021","2021","t","7431483.75","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01443","Rape or colza seed","2021","2021","t","10210010","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","21641.01","Rapeseed or canola oil, crude","2021","2021","t","3711000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","2351f","Raw cane or beet sugar (centrifugal only)","2021","2021","t","33760000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2021","2021","t","195241449.38","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01446","Safflower seed","2021","2021","t","35890","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","21631.02","Safflower-seed oil, crude","2021","2021","t","18000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01921.01","Seed cotton, unginned","2021","2021","t","17204000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","356","India","5510","Production","01444","Sesame seed","2021","2021","t","788744","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0114","Sorghum","2021","2021","t","4423927.4","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","2161","Soya bean oil","2021","2021","t","2081000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0141","Soya beans","2021","2021","t","12986722","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01354","Strawberries","2021","2021","t","19835","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01802","Sugar cane","2021","2021","t","405398710","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01445","Sunflower seed","2021","2021","t","261383.85","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","21631.01","Sunflower-seed oil, crude","2021","2021","t","83000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01530","Sweet potatoes","2021","2021","t","1121000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01324","Tangerines, mandarins, clementines","2021","2021","t","6219381","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01620","Tea leaves","2021","2021","t","6090000","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01234","Tomatoes","2021","2021","t","21181000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01970","Unmanufactured tobacco","2021","2021","t","731141.68","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","356","India","5510","Production","01376","Walnuts, in shell","2021","2021","t","281482.39","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01221","Watermelons","2021","2021","t","3254000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","2021","2021","t","109586500","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01540","Yams","2021","2021","t","874210.78","A","Official figure",""
